freq_hz,psd_dBm
96245312.5,-69.0310462620228
96245898.4375,-69.04435977071013
96246484.375,-69.01823363267003
96247070.3125,-68.97683838807924
96247656.25,-68.94764411637678
96248242.1875,-68.94541918504984
96248828.125,-68.97748515929446
96249414.0625,-68.98523923591598
96250000.0,-68.98512398605565
96250585.9375,-69.01003413609794
96251171.875,-69.00333241115655
96251757.8125,-69.03249655848427
96252343.75,-69.068824210603
96252929.6875,-69.03671556305211
96253515.625,-69.1094994288997
96254101.5625,-69.10720821902113
96254687.5,-69.08622818649546
96255273.4375,-69.05893312855798
96255859.375,-69.02739801442824
96256445.3125,-69.04978968504273
96257031.25,-69.03712725189826
96257617.1875,-69.01917211909318
96258203.125,-69.01690540864647
96258789.0625,-68.9942627726962
96259375.0,-68.98094785354195
96259960.9375,-68.98595346425797
96260546.875,-69.00384262499905
96261132.8125,-68.99833976714417
96261718.75,-69.01485106620453
96262304.6875,-68.98061906381338
96262890.625,-68.95925034678767
96263476.5625,-68.93699810090595
96264062.5,-68.92034869780848
96264648.4375,-68.90201113324453
96265234.375,-68.91366696878421
96265820.3125,-68.90335741581237
96266406.25,-68.91057365394137
96266992.1875,-68.87113577049197
96267578.125,-68.89469760458367
96268164.0625,-68.90869724270175
96268750.0,-68.86293850419267
96269335.9375,-68.83701921783764
96269921.875,-68.83517759878033
96270507.8125,-68.82225802633636
96271093.75,-68.8506846101686
96271679.6875,-68.85718545836168
96272265.625,-68.82871456724438
96272851.5625,-68.79579424799886
96273437.5,-68.7601584980667
96274023.4375,-68.79027444568784
96274609.375,-68.75262525559079
96275195.3125,-68.73989536083195
96275781.25,-68.73432172803572
96276367.1875,-68.71723755434772
96276953.125,-68.7168722865558
96277539.0625,-68.71486626741871
96278125.0,-68.70344845548422
96278710.9375,-68.70819598813594
96279296.875,-68.74958268716922
96279882.8125,-68.7069443934512
96280468.75,-68.71788661981786
96281054.6875,-68.74073065279782
96281640.625,-68.73443712392078
96282226.5625,-68.68681124087348
96282812.5,-68.69333484778008
96283398.4375,-68.60614953284015
96283984.375,-68.61408855934047
96284570.3125,-68.66816668360177
96285156.25,-68.70879059150718
96285742.1875,-68.73734438441383
96286328.125,-68.73766900594758
96286914.0625,-68.75341914973069
96287500.0,-68.7531703010711
96288085.9375,-68.77560444812896
96288671.875,-68.82752826307434
96289257.8125,-68.85089850340306
96289843.75,-68.7806732720357
96290429.6875,-68.76744898823236
96291015.625,-68.76897950784179
96291601.5625,-68.74349291978139
96292187.5,-68.76391068028903
