freq_hz,psd_dBm
96325000.000000,-3.023776105331e+01
96325585.937500,-3.029817478698e+01
96326171.875000,-3.038580804892e+01
96326757.812500,-3.041819619993e+01
96327343.750000,-3.042488605094e+01
96327929.687500,-3.025846756266e+01
96328515.625000,-3.066765172853e+01
96329101.562500,-3.084623689113e+01
96329687.500000,-3.094150238893e+01
96330273.437500,-3.094088294055e+01
96330859.375000,-3.095894017897e+01
96331445.312500,-3.132222661728e+01
96332031.250000,-3.122265273532e+01
96332617.187500,-3.124279022912e+01
96333203.125000,-3.110507083786e+01
96333789.062500,-3.085814742707e+01
96334375.000000,-3.105791986149e+01
96334960.937500,-3.121114628366e+01
96335546.875000,-3.116707178857e+01
96336132.812500,-3.111924590488e+01
96336718.750000,-3.180864493282e+01
96337304.687500,-3.152448264709e+01
96337890.625000,-3.178351567722e+01
96338476.562500,-3.196552143607e+01
96339062.500000,-3.194049178225e+01
96339648.437500,-3.169510426396e+01
96340234.375000,-3.147833178738e+01
96340820.312500,-3.235251540472e+01
96341406.250000,-3.237411863735e+01
96341992.187500,-3.227104966869e+01
96342578.125000,-3.228962726135e+01
96343164.062500,-3.223115445870e+01
96343750.000000,-3.220868044947e+01
96344335.937500,-3.220597292698e+01
96344921.875000,-3.296609588829e+01
96345507.812500,-3.318445113393e+01
96346093.750000,-3.343861336280e+01
96346679.687500,-3.339283254538e+01
96347265.625000,-3.331407021241e+01
96347851.562500,-3.363991345819e+01
96348437.500000,-3.340513413779e+01
96349023.437500,-3.362416224571e+01
96349609.375000,-3.360792704672e+01
96350195.312500,-3.378434183859e+01
96350781.250000,-3.376753324068e+01
96351367.187500,-3.413933048118e+01
96351953.125000,-3.349385306197e+01
96352539.062500,-3.423092450460e+01
96353125.000000,-3.447175479035e+01
96353710.937500,-3.452591022991e+01
96354296.875000,-3.489412940772e+01
96354882.812500,-3.524312801352e+01
96355468.750000,-3.518682696160e+01
96356054.687500,-3.507613126364e+01
96356640.625000,-3.518540417851e+01
96357226.562500,-3.525310890327e+01
96357812.500000,-3.525088172388e+01
96358398.437500,-3.544931994780e+01
96358984.375000,-3.588350126089e+01
96359570.312500,-3.495153683502e+01
96360156.250000,-3.444624829894e+01
96360742.187500,-3.536819976012e+01
96361328.125000,-3.563089197716e+01
96361914.062500,-3.558075758724e+01
96362500.000000,-3.563529864904e+01
96363085.937500,-3.581955754266e+01
96363671.875000,-3.579088744076e+01
96364257.812500,-3.592937935505e+01
96364843.750000,-3.603927265615e+01
96365429.687500,-3.602281930660e+01
96366015.625000,-3.592995517807e+01
96366601.562500,-3.607169450834e+01
96367187.500000,-3.647041124592e+01
96367773.437500,-3.524093778355e+01
96368359.375000,-3.581450241112e+01
96368945.312500,-3.646219236694e+01
96369531.250000,-3.642785295805e+01
96370117.187500,-3.659142496182e+01
96370703.125000,-3.641114108929e+01
96371289.062500,-3.650979242280e+01
96371875.000000,-3.696976650720e+01
96372460.937500,-3.694364969009e+01
96373046.875000,-3.665366905186e+01
96373632.812500,-3.672344307630e+01
96374218.750000,-3.662116852063e+01
96374804.687500,-3.389256340651e+01
96375390.625000,-3.422275661582e+01
96375976.562500,-3.496192034935e+01
96376562.500000,-3.643344556832e+01
96377148.437500,-3.705293197872e+01
96377734.375000,-3.646359697281e+01
96378320.312500,-3.686034929229e+01
96378906.250000,-3.747620666890e+01
96379492.187500,-3.711974415816e+01
96380078.125000,-3.769889252812e+01
96380664.062500,-3.792665960606e+01
96381250.000000,-3.776298776771e+01
96381835.937500,-3.784532877156e+01
